title,link,image,lprice,hprice,mall_name,product_id,brand,maker,category1,category2,category3,category4,search_keyword,capacity,brand_type,price_range,detailed_price
락앤락 슬림핏 원터치 텀블러 400ml 1+1 (LHC3270),https://smartstore.naver.com/main/products/9901800897,https://shopping-phinf.pstatic.net/main_8744630/87446303170.jpg,30900,0,락앤락,87446303170,락앤락,락앤락,생활/건강,주방용품,잔/컵,텀블러,텀블러,400.0,유명브랜드,3-5만원,3-5만
스탠리 아이스플로우 591 플립 스트로 텀블러 손잡이텀블러,https://smartstore.naver.com/main/products/10195666365,https://shopping-phinf.pstatic.net/main_8774016/87740169826.2.jpg,48000,0,치포마켓,87740169826,스탠리,,생활/건강,주방용품,잔/컵,텀블러,텀블러,,유명브랜드,3-5만원,3-5만
(N배송) 레고트 루프 텀블러 멀티 400ml,https://smartstore.naver.com/main/products/11635807283,https://shopping-phinf.pstatic.net/main_8918031/89180317728.jpg,32000,0,legodt,89180317728,레고트,,생활/건강,주방용품,잔/컵,텀블러,텀블러,400.0,기타/노브랜드,3-5만원,3-5만
"스타벅스 SS 블랙 매트 데비 텀블러 473ml, 블랙",https://search.shopping.naver.com/catalog/52340835620,https://shopping-phinf.pstatic.net/main_5234083/52340835620.20250107154301.jpg,30000,0,네이버,52340835620,스타벅스,스타벅스,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,기타/노브랜드,2-3만원,2.5-3만
대용량 텀블러 보온 보냉텀블러 빨대 손잡이 스텐 텀블러 차량용 900ml,https://smartstore.naver.com/main/products/10526125099,https://shopping-phinf.pstatic.net/main_8807063/88070630459.2.jpg,16900,0,타이소 코리아,88070630459,TYESO,,생활/건강,주방용품,잔/컵,텀블러,텀블러,900.0,기타/노브랜드,1-2만원,1.5-2만
"모슈 라떼 스트로우 텀블러 700ml, 1개",https://search.shopping.naver.com/catalog/52778094522,https://shopping-phinf.pstatic.net/main_5277809/52778094522.20250203095515.jpg,44800,0,네이버,52778094522,모슈,,생활/건강,주방용품,잔/컵,텀블러,텀블러,700.0,기타/노브랜드,3-5만원,3-5만
"스타벅스 SS 시그니처 데비 텀블러 473ml, 1개",https://search.shopping.naver.com/catalog/54111984340,https://shopping-phinf.pstatic.net/main_5411198/54111984340.20250416173105.jpg,29300,0,네이버,54111984340,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,기타/노브랜드,2-3만원,2.5-3만
[스타벅스] SS 스탠리 화이트 켄처 텀블러 887ml,https://smartstore.naver.com/main/products/12205059414,https://shopping-phinf.pstatic.net/main_8974957/89749570119.1.jpg,60000,0,스타벅스,89749570119,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,기타/노브랜드,5만원 이상,5만+
"프리십 인설레이티드 475ml, 1개",https://search.shopping.naver.com/catalog/55107996956,https://shopping-phinf.pstatic.net/main_5510799/55107996956.20250604121628.jpg,39900,0,네이버,55107996956,,,생활/건강,주방용품,잔/컵,텀블러,텀블러,475.0,기타/노브랜드,3-5만원,3-5만
"스탠리 스탠리1913 진공 캠프 머그 709ml, 해머톤그린, 1개",https://search.shopping.naver.com/catalog/56222598667,https://shopping-phinf.pstatic.net/main_5622259/56222598667.20250812093905.jpg,45000,0,네이버,56222598667,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,709.0,유명브랜드,3-5만원,3-5만
킨토텀블러 트레블 텀블러 350ml 리뉴얼 신제품 미니 초경량 보냉,https://smartstore.naver.com/main/products/4547252013,https://shopping-phinf.pstatic.net/main_8209177/82091775458.2.jpg,26000,0,프라이스킬,82091775458,킨토,킨토,생활/건강,주방용품,잔/컵,텀블러,텀블러,350.0,기타/노브랜드,2-3만원,2.5-3만
"스타벅스 SS 뉴트럴 밸류 텀블러 473ml, 브라운",https://search.shopping.naver.com/catalog/52519160518,https://shopping-phinf.pstatic.net/main_5251916/52519160518.20250116090240.jpg,26920,0,네이버,52519160518,스타벅스,스타벅스,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,기타/노브랜드,2-3만원,2.5-3만
